EQID,Mw,SoF,Dip,RJB,VS30,PGV_geo
724,4.5,N,40.0,87.23603573,948.0,0.04586625
627,5.0,S,67.0,92.87556148,745.0,0.15084028
368,4.9,N,55.0,164.5828035,629.0,0.0167226
334,3.7,S,86.0,189.0259319,875.0,0.001796622
271,4.3,S,79.0,108.3144044,377.0,0.010410421
347,5.0,N,34.0,41.45946642,567.0,0.337120422
636,5.1,S,85.0,153.8682093,314.0,0.045095115
297,3.8,N,74.0,121.3098405,284.0,0.004227818
210,3.8,N,39.0,35.97297479,488.0,0.056489293
229,4.0,N,41.0,139.6632073,321.0,0.031592206
480,4.6,S,57.0,194.5481708,470.0,0.033765343
274,3.7,S,39.0,92.17860866,501.0,0.005823653
461,4.0,S,64.0,50.04164486,407.0,0.014926601
286,4.5,S,86.0,88.93786885,328.0,0.092481359
229,4.0,N,41.0,186.9463892,683.0,0.005830698
558,4.7,S,62.0,150.7161663,229.0,0.39050981
390,4.2,N,55.0,69.53949522,894.0,0.01089016
517,4.6,S,86.0,87.89407551,1380.0,0.029914985
515,4.1,N,82.0,28.21842957,477.0,0.079031378
601,5.0,N,30.0,96.61331028,468.0,0.254010267
8682,5.2,R,61.0,84.0,645.0,0.109054
493,4.0,N,65.0,133.3067396,265.0,0.013681313
644,4.8,S,82.0,132.0938911,366.0,0.034159834
414,4.1,S,66.0,65.377395,986.0,0.038055377
57,4.3,R,85.0,67.5355139,301.0,0.103859931
659,5.2,N,33.0,105.6770473,444.0,0.176742379
84,4.9,S,60.0,188.2917455,289.0,0.08336851
412,4.8,N,35.0,27.92302068,732.0,0.087263445
438,5.0,N,38.0,41.33630478,393.0,0.192913473
253,4.2,S,57.0,65.23253455,560.0,0.01797157
371,3.9,N,60.0,37.11368108,328.0,0.046875733
347,5.0,N,34.0,79.39485428,580.0,0.126560196
8813,4.3,S,79.0,130.0,978.0,0.00925671
522,4.7,N,36.0,126.6264498,724.0,0.017711757
379,5.2,S,79.0,184.5462554,293.0,0.158261958
8439,5.0,N,45.0,179.0,397.0,0.048819216
659,5.2,N,33.0,193.2217715,483.0,0.071438096
590,4.4,S,67.0,103.1214824,660.0,0.007415212
671,4.7,S,88.0,165.3316927,346.0,0.040872793
73,5.9,N,46.0,183.7368994,145.0,1.379818621
644,4.8,S,82.0,90.9042374,205.0,0.118174662
8917,4.4,S,88.0,79.0,303.0,0.034571857
299,4.6,N,84.0,31.39367178,363.0,0.22886357
508,4.8,N,50.0,31.34813827,367.0,0.16579798
174,3.7,S,77.0,47.60440971,715.0,0.045825166
735,4.2,S,87.0,80.62648445,415.0,0.142722029
471,4.1,S,76.0,91.74404253,430.0,0.023494576
259,4.2,S,89.0,43.88865995,483.0,0.047495454
329,4.5,N,45.0,89.24473422,377.0,0.041251077
711,4.0,N,55.0,67.99288442,532.0,0.017888775
146,3.8,S,61.0,53.17724195,579.0,0.019313436
8643,4.5,N,44.0,127.0,234.0,0.066176685
418,5.0,N,34.0,55.75098126,234.0,0.264992915
423,4.2,N,35.0,62.44924393,630.0,0.021148898
340,4.1,S,79.0,48.1140726,375.0,0.089282565
313,5.5,N,47.0,140.3513551,875.0,0.063220521
381,4.0,N,38.0,42.02434758,131.0,0.090202796
415,4.3,N,67.0,170.8325249,875.0,0.005222008
505,4.2,R,90.0,177.4150243,558.0,0.008722188
9152,4.6,N,55.0,156.0,1072.0,0.006936377
597,4.1,S,58.0,84.06236171,827.0,0.017179811
276,4.2,N,48.0,30.69250227,460.0,0.112856497
526,4.5,S,60.0,170.971834,715.0,0.024393072
8997,6.8,S,66.0,50.0,485.0,11.29102459
246,4.7,S,82.0,32.09676251,283.0,0.656646271
421,4.8,N,42.0,163.9762897,145.0,0.070956372
358,5.2,N,43.0,81.68910865,415.0,0.223816384
524,5.2,S,86.0,105.7656727,519.0,0.091877808
558,4.7,S,62.0,130.1965929,459.0,0.154956334
158,3.8,S,68.0,68.94097803,270.0,0.020356349
8872,4.3,S,78.0,112.0,329.0,0.008096605
695,4.7,N,41.0,37.47758426,369.0,0.291709919
61,4.7,S,48.0,80.61244919,289.0,0.12004025
424,4.4,N,32.0,20.29443908,747.0,0.061817106
55,4.8,S,76.0,179.5141181,343.0,0.183520879
356,5.0,N,39.0,184.7136882,549.0,0.132688067
598,4.3,S,89.0,70.76458438,391.0,0.056761042
319,4.6,N,50.0,141.1069139,460.0,0.017276604
505,4.2,R,90.0,169.0359351,629.0,0.023955113
528,4.3,S,77.0,60.37080142,193.0,0.10654889
480,4.6,S,57.0,46.16931329,484.0,0.09608711
161,3.9,R,51.0,64.82821862,293.0,0.22954957
9140,4.9,N,39.0,59.0,426.0,0.110218875
265,4.8,S,83.0,142.6084623,265.0,0.148984405
274,3.7,S,39.0,50.78563536,455.0,0.042665237
172,4.6,S,72.0,161.6966079,731.0,0.021220395
421,4.8,N,42.0,139.3696541,462.0,0.071969096
242,4.2,N,40.0,95.48527244,238.0,0.070854065
312,4.3,N,42.0,70.80814945,429.0,0.095837781
672,4.0,S,90.0,41.13884534,660.0,0.037773308
29,6.5,N,60.0,125.24,285.0,1.37177774
277,4.2,S,67.0,125.7592081,237.0,0.024579985
372,3.9,S,73.0,31.24021939,207.0,0.099343516
81,5.0,N,42.0,32.93174952,343.0,0.657368229
504,4.9,S,60.0,69.3667906,193.0,0.717303436
380,4.9,N,36.0,64.42231772,771.0,0.084569038
407,3.9,S,79.0,53.28578872,214.0,0.089298157
614,4.4,N,63.0,88.43815328,270.0,0.072200508
414,4.1,S,66.0,102.8265568,371.0,0.011931486
439,5.3,N,34.0,57.53146656,344.0,0.146845972
435,4.7,N,41.0,71.03048317,393.0,0.031710215
207,4.0,S,56.0,47.14340687,145.0,0.049913733
626,4.5,S,70.0,124.1843408,207.0,0.040602269
517,4.6,S,86.0,114.889999,660.0,0.038138597
480,4.6,S,57.0,63.94566814,315.0,0.166548607
599,4.1,S,90.0,74.25307384,329.0,0.008322511
531,4.6,N,39.0,21.85351993,747.0,0.054126695
162,4.8,R,37.0,100.7314583,200.0,0.228775376
122,4.8,N,38.0,48.64418748,390.0,0.114243478
59,5.3,N,37.0,100.1471996,356.0,0.175102572
9179,4.4,S,88.0,92.0,484.0,0.039659198
717,4.7,N,55.0,39.00117713,1141.0,0.026499775
695,4.7,N,41.0,62.31873844,532.0,0.100657327
660,3.9,S,79.0,147.6616434,205.0,0.013028633
390,4.2,N,55.0,11.12442481,747.0,0.10513036
721,4.0,N,55.0,73.93059488,827.0,0.010556897
350,4.0,N,39.0,62.52861695,293.0,0.060718638
322,4.6,N,51.0,158.942746,415.0,0.02648282
8997,6.8,S,66.0,100.0,377.0,6.678867148
498,4.2,S,72.0,14.8112115,875.0,0.109557474
501,4.7,S,69.0,88.50111563,421.0,0.050578346
328,4.4,N,44.0,72.43674855,444.0,0.096637565
672,4.0,S,90.0,125.21181,875.0,0.015592908
288,3.8,N,52.0,85.49275706,1080.0,0.005084781
307,4.9,N,44.0,143.1074558,344.0,0.050734348
9011,4.8,R,39.0,100.0,543.0,0.073665695
93,4.6,S,76.0,44.10273673,316.0,0.084087921
681,4.4,S,72.0,26.17668305,214.0,0.197506156
93,4.6,S,76.0,37.97750097,495.0,0.077335395
565,4.7,S,70.0,99.84798603,344.0,0.083645367
366,6.3,N,42.0,38.79,328.0,2.411948929
491,4.4,R,62.0,98.56958873,813.0,0.009981131
