EQID,Mw,SoF,Dip,RJB,VS30,PGV_geo
370,4.0,N,43.0,25.70862284,207.0,0.095242637
485,4.1,N,43.0,50.9645428,369.0,0.026318063
478,4.3,N,39.0,33.46730394,948.0,0.11377578
518,4.3,N,74.0,95.57608823,234.0,0.078691053
602,4.1,N,25.0,99.78724981,771.0,0.025015993
251,3.7,R,71.0,74.44548289,660.0,0.019519462
239,4.2,S,76.0,31.2080356,390.0,0.197278573
503,4.0,N,50.0,18.11976621,350.0,0.157781913
8460,4.0,N,49.0,35.0,363.0,0.090248536
197,4.1,N,63.0,119.7738579,444.0,0.023569778
411,4.0,S,51.0,66.30734096,145.0,0.065314431
335,4.1,S,70.0,132.8930921,639.0,0.004246606
475,4.1,N,40.0,56.83039258,215.0,0.055632576
221,3.9,S,65.0,24.75931322,771.0,0.172141085
532,4.4,S,86.0,159.2786642,426.0,0.01074188
239,4.2,S,76.0,107.0516053,469.0,0.037069843
187,4.3,N,59.0,137.1915092,304.0,0.025535734
294,4.3,S,73.0,40.23367909,415.0,0.189347046
290,4.0,S,47.0,79.21340553,336.0,0.026515376
274,3.7,S,39.0,56.74044172,424.0,0.033854167
513,4.2,S,66.0,49.73688921,549.0,0.098425221
95,4.3,S,89.0,66.30937329,414.0,0.043696912
362,4.3,N,55.0,20.68497776,229.0,0.894254522
590,4.4,S,67.0,185.0328364,804.0,0.002991337
735,4.2,S,87.0,76.3570074,460.0,0.115637407
475,4.1,N,40.0,49.54067224,720.0,0.096066285
493,4.0,N,65.0,79.51611196,412.0,0.055574982
374,4.2,S,60.0,88.83510603,827.0,0.042283635
532,4.4,S,86.0,120.8178855,521.0,0.00944655
8796,4.4,S,67.0,177.0,207.0,0.012778958
229,4.0,N,41.0,135.4926685,251.0,0.03393931
179,4.2,R,52.0,87.25294982,579.0,0.011800654
672,4.0,S,90.0,96.35101274,469.0,0.015637504
359,3.8,N,49.0,76.29093183,300.0,0.016544198
401,4.3,N,39.0,60.06267181,630.0,0.017907735
532,4.4,S,86.0,139.844513,804.0,0.010024181
575,4.2,S,52.0,45.19519585,300.0,0.184451379
512,4.1,N,52.0,171.8245166,732.0,0.002483052
673,4.2,S,76.0,74.20308676,317.0,0.075103757
666,4.4,S,76.0,52.50855517,660.0,0.032707287
470,4.0,S,69.0,69.34690457,313.0,0.023175655
91,4.1,S,62.0,50.76082025,460.0,0.035373988
242,4.2,N,40.0,116.5203291,639.0,0.021334596
511,4.1,N,52.0,4.05034149,303.0,1.37194605
95,4.3,S,89.0,21.44972299,306.0,0.3476547
697,4.0,N,55.0,67.06575742,630.0,0.019147402
572,4.0,S,62.0,151.1129108,555.0,0.008670115
269,3.9,N,54.0,85.80381364,234.0,0.01422739
341,4.2,S,75.0,152.2547399,875.0,0.009969147
427,4.1,S,75.0,49.9488959,1323.0,0.057630726
156,3.8,S,25.0,20.95986152,448.0,0.416866702
8484,4.2,N,69.0,101.0,694.0,0.005991527
575,4.2,S,52.0,92.759484,145.0,0.087853291
277,4.2,S,67.0,97.51606033,247.0,0.106333715
188,4.3,S,77.0,145.3741795,514.0,0.04274768
527,4.2,N,74.0,63.10870684,219.0,0.044290873
194,4.1,S,90.0,75.07123156,403.0,0.034983715
559,4.4,S,88.0,149.0199027,391.0,0.018543524
237,4.1,S,90.0,148.2858677,361.0,0.020422133
8755,4.2,S,79.0,141.0,317.0,0.059900564
230,4.2,S,59.0,64.41323596,630.0,0.044069659
349,4.0,S,47.0,114.6964535,532.0,0.016686991
503,4.0,N,50.0,20.87960683,567.0,0.023728917
590,4.4,S,67.0,176.6354087,284.0,0.003054538
505,4.2,R,90.0,32.02521529,277.0,0.064474514
450,3.9,S,81.0,74.84801284,373.0,0.015875266
584,4.1,S,88.0,131.5848618,444.0,0.004624385
229,4.0,N,41.0,141.2561515,229.0,0.060413221
